"","Year","Age.Group","Income Group","Alcoholic beverages","Apparel and services","At least one vehicle owned or leased","Cash contributions","College","Education","Entertainment","Food","Food at home","Healthcare","Homeowner","Housing","Income after taxes","Male","Miscellaneous","Personal care products and services","Personal insurance and pensions","Reading","Tobacco products and smoking supplies","Transportation","With mortgage"
"121","2013-2014","45 to 54 years","15000$ to 19999$","192","1590","73","678","41","481","1272","4743","3430","1442","39","10674","18591","41","434","360","965","27","470","3886","19"
"122","2013-2014","45 to 54 years","20000$ to 29999$","180","861","85","777","49","326","1343","4746","3307","2149","47","11385","25953","44","506","348","1829","27","419","5401","22"
"123","2013-2014","45 to 54 years","30000$ to 39999$","274","1058","91","749","50","658","1511","5091","3212","2564","54","13286","33923","41","728","440","2979","37","500","7004","34"
"124","2013-2014","45 to 54 years","40000$ to 49999$","312","1389","92","952","55","554","1753","5726","3725","3243","60","14830","41855","47","544","501","4006","41","507","7820","40"
"125","2013-2014","45 to 54 years","50000$ to 69999$","403","1446","95","1297","59","1349","2379","6478","3933","3705","73","16694","54233","52","1067","575","5588","64","463","9632","53"
"126","2013-2014","45 to 54 years","Over 70000$","853","3035","97","3385","78","3792","4792","11036","6062","5852","87","27482","115103","53","1112","1124","13810","149","391","15863","70"
"127","2013-2014","55 to 64 years","Total","479","1599","91","2368","65","1180","2789","6756","4123","4377","79","17608","68294","49","874","667","7060","132","405","9500","43"
"128","2013-2014","55 to 64 years","Less than 5000$","135","900","72","866","56","267","993","4236","2979","1926","55","10772","-3845","47","672","385","385","52","378","4485","20"
"129","2013-2014","55 to 64 years","5000$ to 9999$","207","833","65","558","48","132","1010","3877","2929","1808","43","8470","8238","44","501","289","550","48","579","4164","14"
"130","2013-2014","55 to 64 years","10000$ to 14999$","73","590","69","521","45","248","1149","3064","2168","2487","48","8385","12507","46","285","217","410","35","497","3614","17"
"131","2013-2014","55 to 64 years","15000$ to 19999$","210","758","80","1036","48","151","1308","3912","2810","2831","62","10039","17701","43","531","289","853","52","396","4008","27"
"132","2013-2014","55 to 64 years","20000$ to 29999$","214","767","89","775","47","102","1702","4111","2860","3220","68","12288","24482","42","459","329","1450","58","443","6319","30"
"133","2013-2014","55 to 64 years","30000$ to 39999$","314","654","94","1069","57","432","1786","5026","3504","3354","77","12876","33812","44","450","453","2413","67","517","6476","39"
"134","2013-2014","55 to 64 years","40000$ to 49999$","251","941","93","1077","52","576","1781","5361","3543","3571","77","14189","42610","46","700","409","3665","89","375","7516","41"
"135","2013-2014","55 to 64 years","50000$ to 69999$","439","1342","96","1568","67","591","2333","6618","4172","4357","83","15469","55175","48","674","596","5429","125","342","8799","45"
"136","2013-2014","55 to 64 years","Over 70000$","826","2735","98","4360","80","2404","4478","9802","5485","6056","93","25417","124625","55","1368","1074","13826","218","373","14273","58"
"137","2013-2014","Less than 25 years","Total","340","1398","65","398","68","2404","1282","4559","2548","996","12","10923","27552","50","192","324","2236","45","235","5922","7"
"138","2013-2014","Less than 25 years","Less than 5000$","222","745","37","80","75","3639","712","3130","1640","371","3","7234","2667","44","131","168","131","17","68","2291","1"
"139","2013-2014","Less than 25 years","5000$ to 9999$","149","710","45","120","77","2770","602","2996","1486","284","3","6817","7907","53","112","176","396","31","116","2992","1"
"140","2013-2014","Less than 25 years","10000$ to 14999$","256","1522","54","145","75","3587","1009","3809","2067","496","6","8258","12785","53","164","211","910","63","162","3321","1"
"141","2013-2014","Less than 25 years","15000$ to 19999$","396","782","61","309","69","2357","751","3642","2187","502","8","8887","17866","54","82","233","1121","48","217","5240","2"
"142","2013-2014","Less than 25 years","20000$ to 29999$","232","1587","75","389","60","1845","1575","4297","2469","806","12","10812","25529","53","171","286","1727","62","285","5891","6"
"143","2013-2014","Less than 25 years","30000$ to 39999$","443","1679","81","476","59","1075","1613","5068","2858","1150","14","12207","34159","51","227","361","2682","49","424","6972","6"
"144","2013-2014","Less than 25 years","Over 40000$","478","1912","89","882","64","1697","1951","6140","3463","2237","28","16996","63507","47","323","543","5752","52","341","10682","18"
